INSCRICAO,ENDEREÇO IMOVEL,CONTRIBUINTE,CLASSIFICACAO,BENEFICIO
457982-8,R  NESTOR BARBOSA 723  AMADEU FURTADO FORTALEZA - CE CEP:60455610,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66692-0,R  LIBERATO BARROSO 981  CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66702-1,R  LIBERATO BARROSO 971  21 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
189286-0,R PRO MIRAMAR DA PONTE 872  HENRIQUE JORGE FORTALEZA - CE CEP:60521065,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
27072-5,R ALM RUFINO 625  VILA UNIÃO FORTALEZA - CE CEP:60420075,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
167600-8,R  FLOR DE LIS 204  PARANGABA FORTALEZA - CE CEP:60740440,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66709-9,R  LIBERATO BARROSO 971  28 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
100204-0,AL  DAS BENEDITAS 221  CIDADE 2000 FORTALEZA - CE CEP:60190160,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
108981-1,R DES HERMES PARAHYBA 373  BARRA DO CEARÁ FORTALEZA - CE CEP:60330142,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
223613-3,AV  OSCAR ARARIPE 3289  GRANJA LISBOA FORTALEZA - CE CEP:60540442,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
278866-7,R  GUADALAJARA 477  PARQUE SANTA MARIA FORTALEZA - CE CEP:60861130,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
571574-1,TV  JOSE LOURENCO 50  SÃO GERARDO FORTALEZA - CE CEP:60760552,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
496086-6,R DR ATUALPA 336  MONTE CASTELO FORTALEZA - CE CEP:60320563,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66706-4,R  LIBERATO BARROSO 971  25 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
127011-7,R  MARIO CAMPOS 617  JARDIM GUANABARA FORTALEZA - CE CEP:60346215,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
143399-7,R PRO JOAQUIM ANTONIO 538  VILA ELLERY FORTALEZA - CE CEP:60320295,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
206013-2,R  MELO OLIVEIRA 754  JÓQUEI CLUBE FORTALEZA - CE CEP:60520315,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
110174-9,AV DR THEBERGE 1718  ÁLVARO WEYNE FORTALEZA - CE CEP:60337578,IGREJA EVANGELICA ASSEMBLEIA DE DEUS BETESDA,Imunidade,Templos Religiosos
195678-7,R  CARLOS CHAGAS 269 OUTRO IGREJA BONSUCESSO FORTALEZA - CE CEP:60541704,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE BELA VISTA,Imunidade,Templos Religiosos
203974-5,R  VIRIATO RIBEIRO 436  BELA VISTA FORTALEZA - CE CEP:60442642,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE BELA VISTA,Imunidade,Templos Religiosos
362703-9,TV  ESPERANCA 54  CONJUNTO ESPERANÇA FORTALEZA - CE CEP:60763633,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE MONTESE,Imunidade,Templos Religiosos
274636-0,R  VALDEMAR PAES   SN-7 SIQUEIRA FORTALEZA - CE CEP:60731736,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE MONTESE,Imunidade,Templos Religiosos
206503-7,R  PERDIGAO DE OLIVEIRA 746  JÓQUEI CLUBE FORTALEZA - CE CEP:60520210,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE MONTESE,Imunidade,Templos Religiosos
229569-5,R  15 DE NOVEMBRO 957  MONTESE FORTALEZA - CE CEP:60421035,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE MONTESE,Imunidade,Templos Religiosos
451233-2,R  TRAJANO DE MORAIS 575  PASSARÉ FORTALEZA - CE CEP:60861710,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE MONTESE,Imunidade,Templos Religiosos
251895-3,AV DR SILAS MUNGUBA 3265  ITAPERI FORTALEZA - CE CEP:60741005,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE MONTESE,Imunidade,Templos Religiosos
499278-4,R  PARAIBA 892  DEMÓCRITO ROCHA FORTALEZA - CE CEP:60440130,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE MONTESE,Imunidade,Templos Religiosos
165010-6,R  AFRODISIO GONDIM 247  DAMAS FORTALEZA - CE CEP:60416420,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE MONTESE,Imunidade,Templos Religiosos
727810-1,R  ALFA   Q002 L133 MARAPONGA FORTALEZA - CE CEP:60711210,IGREJA EVANGELICA ASSEMBLEIA DE DEUS FILADELFIA-MIN FILADELF,Imunidade,Templos Religiosos
226581-8,R  CLAUDIO MANOEL 429  PICI FORTALEZA - CE CEP:60440570,IGREJA EVANGELICA ASSEMBLEIA DE DEUS FILADELFIA-MIN FILADELF,Imunidade,Templos Religiosos
125701-3,R  CONSOLACAO 725  JARDIM IRACEMA FORTALEZA - CE CEP:60341360,IGREJA EVANGELICA ASSEMBLEIA DE DEUS FONTE INESGOTAVEL,Imunidade,Templos Religiosos
125702-1,R  CONSOLACAO 719  JARDIM IRACEMA FORTALEZA - CE CEP:60341360,IGREJA EVANGELICA ASSEMBLEIA DE DEUS FONTE INESGOTAVEL,Imunidade,Templos Religiosos
563647-7,R  BOM JESUS 2030  GRANJA LISBOA FORTALEZA - CE CEP:60540255,IGREJA EVANGELICA ASSMBLEIA DE DEUS DE BOM JESUS,Imunidade,Templos Religiosos
500052-1,R  LIVIO BARRETO   L008 Q034 DIONÍSIO TORRES FORTALEZA - CE CEP:60130110,IGREJA EVANGELICA BETEL PARA AS NACOES,Imunidade,Templos Religiosos
218347-1,R  HUMBERTO LOMEU 1229  Q078 GRANJA PORTUGAL FORTALEZA - CE CEP:60541112,IGREJA EVANGELICA RENOVADA DO BRASIL,Imunidade,Templos Religiosos
66945-8,R PDE MORORO 985  CENTRO FORTALEZA - CE CEP:60015220,IGREJA EVANGELICA TABERNACULO DA FE,Imunidade,Templos Religiosos
275767-2,R  BOTELHO MAGALHAES 48  CIDADE DOS FUNCIONÁRIOS FORTALEZA - CE CEP:60822485,IGREJA EVANGELICA TABERNACULO DE ADORADORES,Imunidade,Templos Religiosos
535834-5,AV DOM MANUEL 1063  A CENTRO FORTALEZA - CE CEP:60060091,IGREJA EVANGELICA TABERNACULO DO AVIVAMENTO,Imunidade,Templos Religiosos
17229-4,AV DOM MANUEL 1063  CENTRO FORTALEZA - CE CEP:60060091,IGREJA EVANGELICA TABERNACULO DO AVIVAMENTO,Imunidade,Templos Religiosos
308733-6,R  BELEM (NOEL ROSA) 32  DOM LUSTOSA FORTALEZA - CE CEP:60526185,IGREJA FUNDAMENTALISTA CRISTO E VIDA,Imunidade,Templos Religiosos
18049-1,R DONA LEOPOLDINA 564  CENTRO FORTALEZA - CE CEP:60110000,IGREJA MESSIANICA MUNDIAL DO BRASIL,Imunidade,Templos Religiosos
274026-5,AV GAL OSORIO DE PAIVA 5096  BOM JARDIM FORTALEZA - CE CEP:60731534,IGREJA NOVA APOSTOLICA BRASIL,Imunidade,Templos Religiosos
65544-9,R  TERESA CRISTINA 950  CENTRO FORTALEZA - CE CEP:60015140,IGREJA PENTECOSTAL DEUS E AMOR,Imunidade,Templos Religiosos
307480-3,R  TERESA CRISTINA 944  CENTRO FORTALEZA - CE CEP:60015140,IGREJA PENTECOSTAL DEUS E AMOR,Imunidade,Templos Religiosos
177100-0,R CAP OLAVO 1001  AEROLÂNDIA FORTALEZA - CE CEP:60850685,IGREJA PRESBITERIANA DA AEROLANDIA,Imunidade,Templos Religiosos
31620-2,R  CAROLINA SUCUPIRA 93  ALDEOTA FORTALEZA - CE CEP:60140120,IGREJA PRESBITERIANA DA ALDEOTA,Imunidade,Templos Religiosos
47608-0,AV  FELINO BARROSO 641  FÁTIMA FORTALEZA - CE CEP:60050130,IGREJA PRESBITERIANA DE FORTALEZA,Imunidade,Templos Religiosos
70752-0,AV VIS DO RIO BRANCO 1636  CENTRO FORTALEZA - CE CEP:60055170,IGREJA PRESBITERIANA DE FORTALEZA,Imunidade,Templos Religiosos
166315-1,AV  GODOFREDO MACIEL 681  A PARANGABA FORTALEZA - CE CEP:60710001,IGREJA PRESBITERIANA DE MARAPONGA,Imunidade,Templos Religiosos
5211-6,R PDE FROTA 766  SÃO GERARDO FORTALEZA - CE CEP:60325160,IGREJA PRESBITERIANA DE MONTE CASTELO,Imunidade,Templos Religiosos
5214-0,R PDE FROTA 788  SÃO GERARDO FORTALEZA - CE CEP:60325160,IGREJA PRESBITERIANA DE MONTE CASTELO,Imunidade,Templos Religiosos
14763-0,R  JULIO CESAR 593  JARDIM AMÉRICA FORTALEZA - CE CEP:60410505,IGREJA PRESBITERIANA DO BRASIL EM JARDIM AMERICA IPBJA,Imunidade,Templos Religiosos
515581-9,R  41 (CONJ. RESID. PREF. JOSE WALTER) 511  PREFEITO JOSÉ WALTER FORTALEZA - CE CEP:60750550,IGREJA PRESBITERIANA DO CONJ J. WALTER,Imunidade,Templos Religiosos
234857-8,AV  AUDIZIO PINHEIRO 365  DOM LUSTOSA FORTALEZA - CE CEP:60526025,IGREJA PRESBITERIANA INDEP DE HEN JORGE,Imunidade,Templos Religiosos
557877-9,AV  NILA GOMES DE SOAREZ 155  MANUEL DIAS BRANCO FORTALEZA - CE CEP:60190630,IGREJA PRESBITERIANA NOVA JERUSALEM,Imunidade,Templos Religiosos
15963-8,R  WALDERY UCHOA 655  GALPAO BENFICA FORTALEZA - CE CEP:60020110,IGREJA PRESBITERIANA RENOVADA DE FORTALEZA,Imunidade,Templos Religiosos
303683-9,R DES FROTA 215  PARQUE SÃO JOSÉ FORTALEZA - CE CEP:60730270,IGREJA PRESBITERIANA RENOVADA DE FORTALEZA,Imunidade,Templos Religiosos
867331-4,R DES FROTA 201  PARQUE SÃO JOSÉ FORTALEZA - CE CEP:60730270,IGREJA PRESBITERIANA RENOVADA DE FORTALEZA,Imunidade,Templos Religiosos
256741-5,R  ALTAIR 200  MARAPONGA FORTALEZA - CE CEP:60711010,IGREJA TENRIKYO CENTRAL DE FORTALEZA,Imunidade,Templos Religiosos
499317-9,R  ALTAIR 200  MARAPONGA FORTALEZA - CE CEP:60711010,IGREJA TENRIKYO CENTRAL DE FORTALEZA,Imunidade,Templos Religiosos
44463-4,R  ANTONIO POMPEU 1979  FARIAS BRITO FORTALEZA - CE CEP:60015107,IGREJA UNIVERSAL DO REINO DE DEUS,Imunidade,Templos Religiosos
442061-6,R  REINO UNIDO 277  JARDIM DAS OLIVEIRAS FORTALEZA - CE CEP:60820140,IGREJA UNIVERSAL DO REINO DE DEUS,Imunidade,Templos Religiosos
74859-5,R  24 DE MAIO 670  CENTRO FORTALEZA - CE CEP:60020000,IGREJA UNIVERSAL DO REINO DE DEUS,Imunidade,Templos Religiosos
171634-4,AV  DA ABOLICAO 3773  MUCURIPE FORTALEZA - CE CEP:60165085,IGREJA UNIVERSAL DO REINO DE DEUS,Imunidade,Templos Religiosos
476875-2,AV DEP CASTELO DE CASTRO 888  JANGURUSSU FORTALEZA - CE CEP:60866680,IGREJA UNIVERSAL DO REINO DE DEUS,Imunidade,Templos Religiosos
172905-5,AV ENG SANTANA JUNIOR 664  PAPICU FORTALEZA - CE CEP:60175652,IGREJA UNIVERSAL DO REINO DE DEUS,Imunidade,Templos Religiosos
367202-6,AV  CONTORNO NORTE 1150  CONJUNTO ESPERANÇA FORTALEZA - CE CEP:60763730,IGREJA UNIVERSAL DO REINO DE DEUS,Imunidade,Templos Religiosos
500090-4,AV  OSCAR ARARIPE 1930  BOM JARDIM FORTALEZA - CE CEP:60543451,IGREJA UNIVERSAL DO REINO DE DEUS,Imunidade,Templos Religiosos
314442-9,R  JOSE MENDONCA 221  GENIBAÚ FORTALEZA - CE CEP:60534090,IGREJA UNIVERSAL DO REINO DE DEUS,Imunidade,Templos Religiosos
185275-2,AV  ZEZE DIOGO 992  CAIS DO PORTO FORTALEZA - CE CEP:60180012,IGREJA UNIVERSAL DO REINO DE DEUS,Imunidade,Templos Religiosos
202186-2,R  ESTADO DO RIO 664  PAN AMERICANO FORTALEZA - CE CEP:60440145,IGREJA UNIVERSAL DO REINO DE DEUS,Imunidade,Templos Religiosos
343905-4,AV GAL OSORIO DE PAIVA 4633  CANINDEZINHO FORTALEZA - CE CEP:60730243,IGREJA UNIVERSAL DO REINO DE DEUS,Imunidade,Templos Religiosos
610728-1,R  APOCALIPSE 692  PLANALTO AYRTON SENNA FORTALEZA - CE CEP:60766470,IGREJA UNIVERSAL DO REINO DE DEUS,Imunidade,Templos Religiosos
297361-8,R CON DE CASTRO 3700  PARQUE SÃO JOSÉ FORTALEZA - CE CEP:60730202,IGREJA UNIVERSAL DO REINO DE DEUS,Imunidade,Templos Religiosos
515634-3,AV  TRISTAO GONCALVES 637  CENTRO FORTALEZA - CE CEP:60015000,IGREJA UNIVERSAL DO REINO DE DEUS,Imunidade,Templos Religiosos
297306-5,R  BERNARDO   Q018 SN PREFEITO JOSÉ WALTER FORTALEZA - CE CEP:60000000,IGREJA UNIVERSAL DO REINO DE DEUS,Imunidade,Templos Religiosos
256123-9,R  LEON GRADVOHL 500  JARDIM CEARENSE FORTALEZA - CE CEP:60712152,IGREJA UNIVERSAL DO REINO DE DEUS,Imunidade,Templos Religiosos
228577-0,AV  JOAO PESSOA 6745  PARANGABA FORTALEZA - CE CEP:60721340,IGREJA UNIVERSAL DO REINO DE DEUS,Imunidade,Templos Religiosos
90469-4,AV  FRANCISCO SA 4355  ÁLVARO WEYNE FORTALEZA - CE CEP:60335195,IGREJA UNIVERSAL DO REINO DE DEUS,Imunidade,Templos Religiosos
305523-0,AV DEP CASTELO DE CASTRO 2359  CONJUNTO PALMEIRAS FORTALEZA - CE CEP:60870065,IGREJA UNIVERSAL DO REINO DE DEUS,Imunidade,Templos Religiosos
271551-1,R PDE PEDRO DE ALENCAR 61  MESSEJANA FORTALEZA - CE CEP:60840280,IGREJA UNIVERSAL DO REINO DE DEUS,Imunidade,Templos Religiosos
610505-0,R  08 DO CONJUNTO JOAO PAULO II 166  BARROSO FORTALEZA - CE CEP:60863810,IGREJA UNIVERSAL DO REINO DE DEUS,Imunidade,Templos Religiosos
130365-1,R  AMOR PERFEITO 315  JARDIM IRACEMA FORTALEZA - CE CEP:60330490,IGREJA UNIVERSAL DO REINO DE DEUS,Imunidade,Templos Religiosos
557941-4,AV  TRISTAO GONCALVES 613  SUBSOLO CENTRO FORTALEZA - CE CEP:60015000,IGREJA UNIVERSAL DO REINO DE DEUS,Imunidade,Templos Religiosos
165664-3,R  OSWALDO ARANHA 31  PARANGABA FORTALEZA - CE CEP:60720840,INSPETORIA MARIA AUXILIADORA,Imunidade,Templos Religiosos
16445-3,R DOM JERONIMO 2380  BENFICA FORTALEZA - CE CEP:60015355,INSTITUICAO ESPIRITA NOSSO LAR,Imunidade,Templos Religiosos
16506-9,R  CARAPINIMA 2424  BENFICA FORTALEZA - CE CEP:60015290,INSTITUICAO ESPIRITA NOSSO LAR,Imunidade,Templos Religiosos
45405-2,R  ANTONIO POMPEU 999  BENFICA FORTALEZA - CE CEP:60040001,INSTITUICAO RELIGIOSA PERFECT LIBERT,Imunidade,Templos Religiosos
67100-2,R  ANTONIO BANDEIRA   TV JACARECANGA FORTALEZA - CE CEP:60010660,INSTITUTO BOM PASTOR,Imunidade,Templos Religiosos
643751-6,AV ENG HUMBERTO MONTE 2810  ALTOS PARQUELÂNDIA FORTALEZA - CE CEP:60455372,INSTITUTO DAS FILHAS DE SANT'ANA-NORTE - INFISA-N,Imunidade,Templos Religiosos
643750-8,AV ENG HUMBERTO MONTE 2810  PARQUELÂNDIA FORTALEZA - CE CEP:60455372,INSTITUTO DAS FILHAS DE SANT'ANA-NORTE - INFISA-N,Imunidade,Templos Religiosos
680394-6,R MAD ANA COUTO 325  A MESSEJANA FORTALEZA - CE CEP:60842390,INSTITUTO DAS IRMAS MISSIONARIAS DE NOSSA SENHORA DAS DORES,Imunidade,Templos Religiosos
301524-6,R MAD ANA COUTO 325  MESSEJANA FORTALEZA - CE CEP:60842390,INSTITUTO DAS IRMAS MISSIONARIAS DE NOSSA SENHORA DAS DORES,Imunidade,Templos Religiosos
296140-7,R  OSCAR LEITAO 377  PAUPINA FORTALEZA - CE CEP:60872685,INSTITUTO DAS MENSAGEIRAS DE SANTA MARIA,Imunidade,Templos Religiosos
971-7,R  JOSE SOMBRA 440  PARQUE ARAXÁ FORTALEZA - CE CEP:60450610,INSTITUTO DE FORMACAO E ASSISTENCIA SOCIAL,Imunidade,Templos Religiosos
327330-0,AV  DIONISIO ALENCAR   VAZIO JANGURUSSU FORTALEZA - CE CEP:60870576,INSTITUTO HESED D IR E IRMAS DA S CRUZ BAV MA DO M CARMELO,Imunidade,Templos Religiosos
322294-2,AV  DIONISIO ALENCAR 1443  JANGURUSSU FORTALEZA - CE CEP:60873073,INSTITUTO HESED D IR E IRMAS DA S CRUZ BAV MA DO M CARMELO,Imunidade,Templos Religiosos
80318-9,R PDE ANCHIETA 438  MONTE CASTELO FORTALEZA - CE CEP:60325505,INSTITUTO JOSEFINO,Imunidade,Templos Religiosos
284905-4,R CEL GUILHERME ALENCAR 121  MESSEJANA FORTALEZA - CE CEP:60840340,INSTITUTO JOSEFINO,Imunidade,Templos Religiosos
271492-2,AV FRE CIRILO 2915  PARQUE IRACEMA FORTALEZA - CE CEP:60840285,INSTITUTO JOSEFINO,Imunidade,Templos Religiosos
17818-7,R  J DA PENHA 46  CENTRO FORTALEZA - CE CEP:60110120,INSTITUTO JOSEFINO,Imunidade,Templos Religiosos
54253-9,AV SEN VIRGILIO TAVORA 1751  ALDEOTA FORTALEZA - CE CEP:60170079,INSTITUTO MARIA IMACULADA,Imunidade,Templos Religiosos
54249-0,AV PDE ANTONIO TOMAS 2035  ALDEOTA FORTALEZA - CE CEP:60140155,INSTITUTO MARIA IMACULADA,Imunidade,Templos Religiosos
79469-4,R BAR DO RIO BRANCO 20  CENTRO FORTALEZA - CE CEP:60025060,IRMANDADE BENEF DA SANTA CASA DA MISERICORDIA DE FORTALEZA,Imunidade,Templos Religiosos
67821-0,R  TERESA CRISTINA 37  CENTRO FORTALEZA - CE CEP:60015140,IRMANDADE BENEF DA SANTA CASA DA MISERICORDIA DE FORTALEZA,Imunidade,Templos Religiosos
228569-0,AV  JOAO PESSOA 6600  PARANGABA FORTALEZA - CE CEP:60721340,IRMANDADE BENEF DA SANTA CASA DA MISERICORDIA DE FORTALEZA,Imunidade,Templos Religiosos
353125-2,R  IV (CIDADE OESTE)   L033 Q004 QUINTINO CUNHA FORTALEZA - CE CEP:60351580,JORGE LUIZ ALBUQUERQUE ARRUDA,Imunidade,Templos Religiosos
260889-8,R  ATAULFO ALVES 326 LOTE 09_Q-_25_JD_DAS_OLIVEIRAS JARDIM DAS OLIVEIRAS FORTALEZA - CE CEP:60821460,JOSE ITALO RODRIGUES SANTIAGO,Imunidade,Templos Religiosos
426179-8,R  HELVECIO MONTE 165  VILA UNIÃO FORTALEZA - CE CEP:60420040,LAR DA CRIANCA DOMINGOS SAVIO,Imunidade,Templos Religiosos
74511-1,R  PEDRO PEREIRA 581  CENTRO FORTALEZA - CE CEP:60035000,LAYLLA PRISCILLA MOREIRA DE LIMA,Imunidade,Templos Religiosos
313697-3,R  VICENTE LOPES 195  ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60813803,LECTORIUM ROSICRUCIANUM,Imunidade,Templos Religiosos
336495-0,R  DOS MAIAS (ENGENHEIRO LUCIANO CAVALCANTE) 750  ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60813805,LECTORIUM ROSICRUCIANUN,Imunidade,Templos Religiosos
450468-2,R  DOS MAIAS (ENGENHEIRO LUCIANO CAVALCANTE) 90  ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60813805,LECTORIUM ROSICRUCIANUN,Imunidade,Templos Religiosos
666568-3,R  CLEITON HELAIDE PIMENTA   TERRENO INTERNO VAZIO ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60821410,LECTORIUM ROSICRUCIANUN,Imunidade,Templos Religiosos
51425-0,R COS TRISTAO 645  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60050101,LEGIAO DE NOSSA SENHORA RAINHA DOS CORACOES,Imunidade,Templos Religiosos
15493-8,R MAJ LAURINDO 115  BENFICA FORTALEZA - CE CEP:60020070,LEGIAO ESPIRITA FEMININA,Imunidade,Templos Religiosos
42817-5,R SEN CATUNDA 100  BENFICA FORTALEZA - CE CEP:60015320,MARIA ERINEIDE FERNANDES,Imunidade,Templos Religiosos
602639-7,AV DR SILAS MUNGUBA   PASSARÉ FORTALEZA - CE CEP:60743762,MINISTERIO CANAA DA ASSEMBLEIA DE DEUS NO BRASIL,Imunidade,Templos Religiosos
529388-0,R  SHIRLEY GIRAO 650  PASSARÉ FORTALEZA - CE CEP:60744325,MINISTERIO CANAA DA ASSEMBLEIA DE DEUS NO BRASIL,Imunidade,Templos Religiosos
301401-0,AV FRE CIRILO 4546  MESSEJANA FORTALEZA - CE CEP:60840285,MINISTERIO CANAA DA ASSEMBLEIA DE DEUS NO BRASIL,Imunidade,Templos Religiosos
602636-2,AV DR SILAS MUNGUBA 5454  PASSARÉ FORTALEZA - CE CEP:60743762,MINISTERIO CANAA DA ASSEMBLEIA DE DEUS NO BRASIL,Imunidade,Templos Religiosos
538064-2,R  102 DO LOTEAMENTO CONJUNTO TUPAN MIRIM 271  PARQUE DOIS IRMÃOS FORTALEZA - CE CEP:60744400,MINISTERIO CANAA DA ASSEMBLEIA DE DEUS NO BRASIL,Imunidade,Templos Religiosos
212965-5,R  EDSON MARTINS 1264  BOM JARDIM FORTALEZA - CE CEP:60543456,MINISTERIO CANAA DA ASSEMBLEIA DE DEUS NO BRASIL,Imunidade,Templos Religiosos
8616-9,R  FRANCISCA CLOTILDE 435  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431075,MINISTERIO GUERREIROS DE ORACAO,Imunidade,Templos Religiosos
683669-0,R FRE MARCELINO 1000  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431006,MINISTERIO GUERREIROS DE ORACAO,Imunidade,Templos Religiosos
52788-2,R PRO FRANCISCO GONCALVES 225  DIONÍSIO TORRES FORTALEZA - CE CEP:60135430,MISSAO BATISTA CONSERVADORA DO BRASIL,Imunidade,Templos Religiosos
557435-8,R  ODORICO MORAIS 906  CARLITO PAMPLONA FORTALEZA - CE CEP:60310350,MISSIONARIAS DE SANTA TEREZINHA,Imunidade,Templos Religiosos
84994-4,R STA ROSA 579  CARLITO PAMPLONA FORTALEZA - CE CEP:60311420,MISSIONARIAS DE SANTA TEREZINHA,Imunidade,Templos Religiosos
167179-0,R  THOMAS EDISON 849  PARANGABA FORTALEZA - CE CEP:60740745,MITRA ARQUID.DE FORTALEZA DE VL.BETANIA,Imunidade,Templos Religiosos
29876-0,EST  FERRO MUCURIPE   SN SÃO JOÃO DO TAUAPE FORTALEZA - CE CEP:60130550,MITRA ARQUIDIOCESANA DE FORT. PAQ. NOSSA SENHORA DE FATIMA,Imunidade,Templos Religiosos
281760-8,AV  JUSCELINO KUBITSCHEK 3635  PASSARÉ FORTALEZA - CE CEP:60861635,MITRA ARQUIDIOCESANA DE FORTALEZA,Imunidade,Templos Religiosos
170054-5,R  MANUEL JESUINO 225 LETRA A MUCURIPE FORTALEZA - CE CEP:60175270,MITRA ARQUIDIOCESANA DE FORTALEZA,Imunidade,Templos Religiosos
118655-8,AV DOM ALUISIO LORSCHEIDER 960  VILA VELHA FORTALEZA - CE CEP:60347780,MITRA ARQUIDIOCESANA DE FORTALEZA,Imunidade,Templos Religiosos
90142-3,R CNS GOUVEIA 43  ÁLVARO WEYNE FORTALEZA - CE CEP:60335390,MITRA ARQUIDIOCESANA DE FORTALEZA,Imunidade,Templos Religiosos
182606-9,R ASP MENDES 540  ALTO DA BALANÇA FORTALEZA - CE CEP:60130820,MITRA ARQUIDIOCESANA DE FORTALEZA,Imunidade,Templos Religiosos
75391-2,R  GUILHERME ROCHA 536  CENTRO FORTALEZA - CE CEP:60030140,MITRA ARQUIDIOCESANA DE FORTALEZA,Imunidade,Templos Religiosos
635391-6,R DR MIGUEL COUTO 329  PAUPINA FORTALEZA - CE CEP:60872665,MITRA ARQUIDIOCESANA DE FORTALEZA,Imunidade,Templos Religiosos
166212-0,R  INGLATERRA 222  ITAPERI FORTALEZA - CE CEP:60714150,MITRA ARQUIDIOCESANA DE FORTALEZA,Imunidade,Templos Religiosos
90593-3,R CNS GOUVEIA 44  ÁLVARO WEYNE FORTALEZA - CE CEP:60335390,MITRA ARQUIDIOCESANA DE FORTALEZA,Imunidade,Templos Religiosos
282864-2,R  ALENCAR OLIVEIRA 54  PASSARÉ FORTALEZA - CE CEP:60861820,MITRA ARQUIDIOCESANA DE FORTALEZA,Imunidade,Templos Religiosos
231896-2,AV PRO GOMES DE MATOS 1921  MONTESE FORTALEZA - CE CEP:60420431,MITRA ARQUIDIOCESANA DE FORTALEZA,Imunidade,Templos Religiosos
28377-0,AV  LUCIANO CARNEIRO   V VILA UNIÃO FORTALEZA - CE CEP:60410691,MITRA ARQUIDIOCESANA DE FORTALEZA,Imunidade,Templos Religiosos
170892-9,AV  DA ABOLICAO  OUTRO IGREJA_-_SN MUCURIPE FORTALEZA - CE CEP:60165082,MITRA ARQUIDIOCESANA DE FORTALEZA,Imunidade,Templos Religiosos
90143-1,R CNS GOUVEIA   SN ÁLVARO WEYNE FORTALEZA - CE CEP:60335390,MITRA ARQUIDIOCESANA DE FORTALEZA,Imunidade,Templos Religiosos
733168-1,R  ANDRE CHAVES 161  PARREÃO FORTALEZA - CE CEP:60410341,MITRA ARQUIDIOCESANA DE FORTALEZA,Imunidade,Templos Religiosos
118654-0,AV DOM ALUISIO LORSCHEIDER 960  A VILA VELHA FORTALEZA - CE CEP:60347780,MITRA ARQUIDIOCESANA DE FORTALEZA,Imunidade,Templos Religiosos
90144-0,R  ASSIS BEZERRA 30  ÁLVARO WEYNE FORTALEZA - CE CEP:60335360,MITRA ARQUIDIOCESANA DE FORTALEZA,Imunidade,Templos Religiosos
361005-5,R DES UBIRAJARA CARNEIRO   SN DE LOURDES FORTALEZA - CE CEP:60177080,MITRA ARQUIDIOCESANA DE FORTALEZA,Imunidade,Templos Religiosos
277980-3,AV  OLIVEIRA PAIVA 905  CIDADE DOS FUNCIONÁRIOS FORTALEZA - CE CEP:60822131,MITRA ARQUIDIOCESANA DE FORTALEZA,Imunidade,Templos Religiosos
130881-5,R  TULIPA 683  JARDIM IRACEMA FORTALEZA - CE CEP:60330520,MITRA ARQUIDIOCESANA DE FORTALEZA,Imunidade,Templos Religiosos
